sample_id	taxon_rank	taxon_name	taxid_if_available	mean_relative_abundance_classified_only	sd_relative_abundance_classified_only	replicates_detected	mean_direct_reads_if_available	mean_clade_reads	notes
S_21_12_20	phylum	Chordata	7711	0.05491033799391315	0.0	3	0.0	8534.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Firmicutes	1239	0.03580045940920234	0.0	3	98.0	5564.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Planctomycetes	203682	0.03144443658029688	0.0	3	12.0	4887.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Chloroflexi	200795	0.005102401925143324	0.0	3	15.0	793.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Euryarchaeota	28890	0.004883635638314985	0.0	3	1.0	759.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Acidobacteria	57723	0.004291679803367714	0.0	3	2.0	667.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Verrucomicrobia	74201	0.0029597791747363543	0.0	3	4.0	460.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Deinococcus-Thermus	1297	0.0028182245185533112	0.0	3	0.0	438.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Spirochaetes	203691	0.002805355913445762	0.0	3	0.0	436.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Chlorobi	1090	0.0013383349311851343	0.0	3	0.0	208.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Tenericutes	544448	0.0012482546954322887	0.0	3	0.0	194.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Gemmatimonadetes	142182	0.001119568644356795	0.0	3	0.0	174.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Kiritimatiellaeota	134625	0.0009715796856199772	0.0	3	0.0	151.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Fusobacteria	32066	0.0008814994498671317	0.0	3	0.0	137.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Nitrospirae	40117	0.0008235907268831595	0.0	3	0.0	128.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Ignavibacteriae	1134404	0.0007785506090067367	0.0	3	0.0	121.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Calditrichaeota	1930617	0.0006241273477161443	0.0	3	0.0	97.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Thermotogae	200918	0.0006176930451623696	0.0	3	0.0	96.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Synergistetes	508458	0.0005469157170708482	0.0	3	0.0	85.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Uroviricota	2731618	0.0005147442043019747	0.0	3	0.0	80.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Thermodesulfobacteria	200940	0.00038605815322648103	0.0	3	0.0	60.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Thaumarchaeota	651137	0.0003796238506727063	0.0	3	1.0	59.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Nucleocytoviricota	2732007	0.000366755245565157	0.0	3	0.0	57.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Deferribacteres	200930	0.00036032094301138227	0.0	3	0.0	56.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Chlamydiae	204428	0.00034745233790383295	0.0	3	0.0	54.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Aquificae	200783	0.00024450349704343796	0.0	3	0.0	38.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
S_21_12_20	phylum	Chrysiogenetes	200938	0.00024450349704343796	0.0	3	0.0	38.0	relative abundance among classified reads only; relative values use clade reads at rank / classified reads.
